"No.", "Quantity", "Comment"                          , "Designator"                         , "Footprint"                          , "Value" , "Manufacturer Part"                , "Manufacturer"           , "Supplier Part", "Supplier", "JLCPCB Price"
"1"  , "1"       , "2.7kHz"                           , "BUZZER1"                            , "BUZ-SMD_4P-L8.5-W8.5-P8.50-BR"      , "2.7kHz", "MLT-8530"                         , "华能"                   , "C94599"       , "LCSC"    , "0.0306"
"2"  , "5"       , "10uF"                             , "C1,C2,C6,C8,C20"                    , "C0603"                              , "10uF"  , "CL10A106KP8NNNC"                  , "SAMSUNG(三星)"          , "C19702"       , "LCSC"    , "0.0083"
"3"  , "10"      , "100nF"                            , "C3,C4,C7,C9,C11,C12,C13,C14,C15,C19", "C0603"                              , "100nF" , "CC0603KRX7R9BB104"                , "YAGEO(国巨)"            , "C14663"       , "LCSC"    , "0.0017"
"4"  , "1"       , "1uF"                              , "C5"                                 , "C0603"                              , "1uF"   , "CL10A105KB8NNNC"                  , "SAMSUNG(三星)"          , "C15849"       , "LCSC"    , "0.0019"
"5"  , "4"       , "470uF"                            , "C21,C22,C23,C24"                    , "CAP-TH_BD6.3-P2.50-D0.6-FD-1"       , "470uF" , "PA16V470M6X9"                     , "JIERR(捷而瑞)"          , "C48935355"    , "LCSC"    , "0.0219"
"6"  , "1"       , "TF PUSH"                          , "CARD1"                              , "TF-SMD_TF-PUSH"                     , ""      , "TF PUSH"                          , "SHOU HAN(首韩)"         , "C393941"      , "LCSC"    , "0.0098"
"7"  , "1"       , "100nF"                            , "Cbst"                               , "C0805"                              , "100nF" , "CC0805KRX7R8BB104"                , "YAGEO(国巨)"            , "C519981"      , "LCSC"    , "0.0016"
"8"  , "1"       , "100nF"                            , "Cbst2"                              , "C0603"                              , "100nF" , "CGA0603X7R104K500JT"              , "HRE(芯声)"              , "C6119867"     , "LCSC"    , "0.0022"
"9"  , "1"       , "100pF"                            , "Cff"                                , "C0603"                              , "100pF" , "CC0603JRNPO6BN101"                , "YAGEO(国巨)"            , "C1853160"     , "LCSC"    , "0.0007"
"10" , "1"       , "68pF"                             , "Cff2"                               , "C0603"                              , "68pF"  , "CC0603JRNPO9BN680"                , "YAGEO(国巨)"            , "C62782"       , "LCSC"    , "0.0007"
"11" , "2"       , "15uF"                             , "Cin,Cin2"                           , "C0805"                              , "15uF"  , "C2012X5R1V156MT000E"              , "TDK"                    , "C5367448"     , "LCSC"    , "0.0482"
"12" , "1"       , "100nF"                            , "Cinx"                               , "C0603"                              , "100nF" , "GRM188R72A104KA35D"               , "muRata(村田)"           , "C77058"       , "LCSC"    , "0.0058"
"13" , "1"       , "HC-1.25-2PWT"                     , "CN1"                                , "CONN-SMD_2P-P1.25-HC-1.25-2PWT"     , ""      , "HC-1.25-2PWT"                     , "HCTL(华灿天禄)"         , "C2845379"     , "LCSC"    , "0.0075"
