"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"BUZZER1","MLT-8530","BUZ-SMD_4P-L8.5-W8.5-P8.50-BR","5.82mm","-42.927mm","5.82mm","-42.927mm","9.419mm","-39.327mm","4","T","180","Yes","2.7kHz","2.7kHz"
"Cbst2","CGA0603X7R104K500JT","C0603","42.926mm","-8.636mm","42.926mm","-8.636mm","43.626mm","-8.636mm","2","T","180","Yes","100nF","100nF"
"Cff2","CC0603JRNPO9BN680","C0603","41.402mm","-2.032mm","41.402mm","-2.032mm","41.402mm","-2.732mm","2","T","90","Yes","68pF","68pF"
"Cin2","C2012X5R1V156MT000E","C0805","45.212mm","-5.715mm","45.212mm","-5.715mm","45.212mm","-4.715mm","2","T","270","Yes","15uF","15uF"
"Cout2","EMK316BBJ476ML-T","C1206","39.213mm","-6.618mm","39.213mm","-6.618mm","39.213mm","-5.025mm","2","T","270","Yes","47uF","47uF"
"L2","APH0630T150M","IND-SMD_L7.1-W6.6","41.118mm","-12.841mm","41.118mm","-12.841mm","44.031mm","-12.841mm","2","T","180","Yes","15uH","15uH"
"R11","0603WAF1003T5E","R0603","43.18mm","-2.032mm","43.18mm","-2.032mm","43.18mm","-2.785mm","2","T","90","Yes","100kΩ","100kΩ"
"R12","0603WAF1372T5E","R0603","45.466mm","-2.286mm","45.466mm","-2.286mm","46.219mm","-2.286mm","2","T","180","Yes","13.7kΩ","13.7kΩ"
"U8","TPS54202DDCR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","42.291mm","-5.461mm","42.291mm","-5.461mm","41.341mm","-6.61mm","6","T","0","Yes","TPS54202DDCR","TPS54202DDCR"
"SCREW1","Screw-Hole-M2","Screw-Hole-M2","2.4mm","-53.6mm","2.4mm","-53.6mm","2.4mm","-53.6mm","1","T","0","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW2","Screw-Hole-M2","Screw-Hole-M2","2.4mm","-2.4mm","2.4mm","-2.4mm","2.4mm","-2.4mm","1","T","0","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW3","Screw-Hole-M2","Screw-Hole-M2","61.6mm","-53.6mm","61.6mm","-53.6mm","61.6mm","-53.6mm","1","T","0","No","Screw-Hole-M2","Screw-Hole-M2"
"SCREW4","Screw-Hole-M2","Screw-Hole-M2","61.6mm","-2.4mm","61.6mm","-2.4mm","61.6mm","-2.4mm","1","T","0","No","Screw-Hole-M2","Screw-Hole-M2"
"R13","FRC0603J221 TS","R0603","57.531mm","-34.29mm","57.531mm","-34.29mm","56.778mm","-34.29mm","2","T","0","Yes","220Ω","220Ω"
"CARD1","TF PUSH","TF-SMD_TF-PUSH","13.589mm","-10.795mm","13.589mm","-10.795mm","11.339mm","-16.095mm","13","T","180","Yes","TF PUSH","TF PUSH"
"R14","FRC0603J221 TS","R0603","57.531mm","-38.354mm","57.531mm","-38.354mm","56.778mm","-38.354mm","2","T","0","Yes","220Ω","220Ω"
"R15","FRC0603J221 TS","R0603","57.531mm","-42.291mm","57.531mm","-42.291mm","56.778mm","-42.291mm","2","T","0","Yes","220Ω","220Ω"
"Cinx","GRM188R72A104KA35D","C0603","47.498mm","-18.288mm","47.498mm","-18.288mm","48.198mm","-18.288mm","2","T","180","Yes","100nF","100nF"
"Cout","GRM32ER61C476KE15L","C1210","42.672mm","-28.829mm","42.672mm","-28.829mm","44.189mm","-28.829mm","2","T","180","Yes","47uF","47uF"
"D1","LESD5D5.0CT1G_C5199850","SOD-523_L1.2-W0.8-LS1.6-BI","31.877mm","-9.779mm","31.877mm","-9.779mm","32.627mm","-9.779mm","2","T","180","Yes","LESD5D5.0CT1G","LESD5D5.0CT1G"
"D2","LESD5D5.0CT1G_C5199850","SOD-523_L1.2-W0.8-LS1.6-BI","26.289mm","-13.716mm","26.289mm","-13.716mm","25.539mm","-13.716mm","2","T","0","Yes","LESD5D5.0CT1G","LESD5D5.0CT1G"
"D3","LESD5D5.0CT1G_C5199850","SOD-523_L1.2-W0.8-LS1.6-BI","28.829mm","-13.716mm","28.829mm","-13.716mm","29.579mm","-13.716mm","2","T","180","Yes","LESD5D5.0CT1G","LESD5D5.0CT1G"
"D4","BZT52C12_C173429","SOD-123_L2.7-W1.6-LS3.7-RD","56.515mm","-23.876mm","56.515mm","-23.876mm","54.88mm","-23.876mm","2","T","0","Yes","BZT52C12","BZT52C12"
"D6","1N4148W_C7420318","SOD-123_L2.7-W1.6-LS3.7-FD","6.223mm","-36.957mm","6.223mm","-36.957mm","4.613mm","-36.957mm","2","T","0","Yes","1N4148W","1N4148W"
"D8","PMEG3050EP,115","SOD-128_L3.7-W2.5-LS4.7-RD","31.75mm","-15.367mm","31.75mm","-15.367mm","31.75mm","-17.567mm","2","T","90","Yes","PMEG3050EP,115","PMEG3050EP,115"
"DC1","DC005","DC-IN-TH_DC005","52.324mm","-10.922mm","52.324mm","-10.922mm","54.674mm","-14.022mm","3","T","270","No","DC005","DC005"
"H1","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","60.035mm","-32.261mm","60.035mm","-32.261mm","57.495mm","-32.261mm","3","T","0","No","PZ254V-11-03P","PZ254V-11-03P"
"H2","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","60.035mm","-36.261mm","60.035mm","-36.261mm","57.495mm","-36.261mm","3","T","0","No","PZ254V-11-03P","PZ254V-11-03P"
"H3","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","60.035mm","-40.261mm","60.035mm","-40.261mm","57.495mm","-40.261mm","3","T","0","No","PZ254V-11-03P","PZ254V-11-03P"
"H4","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","60.035mm","-44.261mm","60.035mm","-44.261mm","57.495mm","-44.261mm","3","T","0","No","PZ254V-11-03P","PZ254V-11-03P"
"H5","PZ254V-11-03P","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","60.035mm","-48.261mm","60.035mm","-48.261mm","57.495mm","-48.261mm","3","T","0","No","PZ254V-11-03P","PZ254V-11-03P"
"L1","XAL7070-332MEC","IND-SMD_L7.5-W7.2-1","49.233mm","-26.701mm","49.233mm","-26.701mm","49.233mm","-24.291mm","2","T","270","Yes","3.3uH","3.3uH"
"LED1","XL-1608SURC-06","LED0603-RD_RED","23.622mm","-16.383mm","23.622mm","-16.383mm","24.371mm","-16.38mm","2","T","180","Yes","XL-1608SURC-06","XL-1608SURC-06"
"LED2","WS2812B-B/T","LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B","3.571mm","-27.783mm","3.571mm","-27.783mm","5.221mm","-25.333mm","4","T","270","Yes","WS2812B-B/T","WS2812B-B/T"
"LED3","WS2812B-B/T","LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B","3.571mm","-21.783mm","3.571mm","-21.783mm","6.021mm","-23.433mm","4","T","180","Yes","WS2812B-B/T","WS2812B-B/T"
"LED4","WS2812B-B/T","LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B","9.571mm","-21.783mm","9.571mm","-21.783mm","7.921mm","-24.233mm","4","T","90","Yes","WS2812B-B/T","WS2812B-B/T"
"LED5","WS2812B-B/T","LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B","9.571mm","-27.783mm","9.571mm","-27.783mm","7.122mm","-26.133mm","4","T","0","Yes","WS2812B-B/T","WS2812B-B/T"
"Q1","AO4485_C5334068","SOP-8_L5.1-W3.9-P1.27-LS6.0-BL","58.801mm","-19.685mm","58.801mm","-19.685mm","56.061mm","-17.78mm","8","T","270","Yes","AO4485","AO4485"
"Q2","L2N7002SLLT1G","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR","2.264mm","-36.196mm","2.264mm","-36.196mm","3.214mm","-35.094mm","3","T","90","Yes","L2N7002SLLT1G","L2N7002SLLT1G"
"Q3","DMG3415U","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1","35.052mm","-16.637mm","35.052mm","-16.637mm","34.052mm","-15.687mm","3","T","180","Yes","DMG3415U","DMG3415U"
"R16","FRC0603J221 TS","R0603","57.531mm","-46.355mm","57.531mm","-46.355mm","56.778mm","-46.355mm","2","T","0","Yes","220Ω","220Ω"
"R17","FRC0603J221 TS","R0603","57.531mm","-50.292mm","57.531mm","-50.292mm","56.778mm","-50.292mm","2","T","0","Yes","220Ω","220Ω"
"Rfbt","0805W8F7322T5E","R0805","40.724mm","-20.351mm","40.724mm","-20.351mm","40.724mm","-21.351mm","2","T","90","Yes","73.2kΩ","73.2kΩ"
"RN1","RTA03-4D473JTP","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","2.413mm","-10.795mm","2.413mm","-10.795mm","1.613mm","-9.595mm","8","T","270","Yes","47kΩ","47kΩ"
"RN2","RTA03-4D473JTP","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","2.413mm","-6.604mm","2.413mm","-6.604mm","1.613mm","-5.404mm","8","T","270","Yes","47kΩ","47kΩ"
"SW1","KMR211NGLFS","SW-SMD_4P-L4.2-W2.8-P1.60-LS4.6-TR","42.291mm","-53.975mm","42.291mm","-53.975mm","40.241mm","-54.775mm","4","T","180","Yes","KMR211NGLFS","KMR211NGLFS"
"SW2","KMR211NGLFS","SW-SMD_4P-L4.2-W2.8-P1.60-LS4.6-TR","50.927mm","-53.975mm","50.927mm","-53.975mm","48.877mm","-54.775mm","4","T","180","Yes","KMR211NGLFS","KMR211NGLFS"
"U1","ESP32-S3-WROOM-1-N8","WIFIM-SMD_ESP32-S3-WROOM-1-N8","28.321mm","-39.243mm","28.321mm","-39.243mm","37.221mm","-48.198mm","49","T","180","Yes","2.4GHz","2.4GHz"
"U3","SN74LV1T34DCKR","SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR","7.366mm","-32.004mm","7.366mm","-32.004mm","8.466mm","-32.654mm","5","T","0","Yes","SN74LV1T34DCKR","SN74LV1T34DCKR"
